co_municipio,no_municipio,populacao
352180,ITAI,27632
351250,COROADOS,6197
350270,APIAI,24081
355080,SAO SEBASTIAO DA GRAMA,12137
350600,BAURU,381706
352725,LOURDES,2311
351020,CAPAO BONITO,47098
352710,LINS,78978
353590,PARANAPUA,4112
351590,FLOREAL,2884
352670,LEME,105273
352040,ILHABELA,36194
351730,GUAIMBE,5806
354730,SANTANA DE PARNAIBA,145073
350810,BURITAMA,17414
355410,TAUBATE,320820
352990,MIRACATU,19511
#N/A,SANTA CLARA D OESTE,2000
351290,COSMORAMA,7289
354995,SAO LOURENCO DA SERRA,16127
354323,RIBEIRAO DOS INDIOS,2222
355500,TUPA,65615
350535,BARRA DO CHAPEU,5794
353970,PLATINA,3606
353282,NOVA CAMPINA,9962
352600,JUNQUEIROPOLIS,20978
350650,BIRIGUI,126094
352860,MANDURI,9972
352210,ITANHAEM,104351
354370,RINCAO,10824
350840,CABREUVA,51130
354630,SANTA CRUZ DAS PALMEIRAS,35102
354800,SANTO ANTONIO DE POSSE,23000
353810,PINDORAMA,17378
352480,JALES,49291
351780,GUARACAI,8258
352170,ITABERA,17405
353310,NOVA GUATAPORANGA,2333
354100,PRAIA GRANDE,336454
353000,MIRA ESTRELA,3125
355470,TORRINHA,10100
354300,RIBEIRAO BRANCO,15984
351600,FLORIDA PAULISTA,14936
350060,AGUAS DE SAO PEDRO,3588
353260,NHANDEARA,11575
354180,QUEIROZ,3513
351620,FRANCA,358539
351670,GARCA,44429
355330,TAMBAU,23255
352790,LUTECIA,2623
350830,CABRALIA PAULISTA,4222
354920,SAO JOAO DAS DUAS PONTES,2555
352000,IGARACU DO TIETE,24821
352540,JERIQUARA,3143
355220,SOROCABA,695328
351910,IACANGA,12002
353680,PEDRA BELA,6127
355340,TANABI,26231
351930,IBATE,35830
354200,QUINTANA,6736
350220,ANGATUBA,25724
352470,JAGUARIUNA,59921
351850,GUAREI,19244
352042,ILHA COMPRIDA,11552
353360,NUPORANGA,7522
351660,GALIA,6419
353670,PEDERNEIRAS,47523
354270,RESTINGA,7762
350300,ARAMINA,5689
350030,AGUAI,36981
350290,ARACOIABA DA SERRA,35389
350930,CAJOBI,10649
353070,MOGI GUACU,154146
350745,BOREBI,2713
350570,BARUERI,279704
354870,SAO BERNARDO DO CAMPO,849874
352610,JUQUIA,18627
350170,AMERICO BRASILIENSE,41545
355420,TEJUPA,4452
353230,NATIVIDADE DA SERRA,6624
352290,ITAPUI,14297
350550,BARRETOS,123546
353600,PARAPUA,10934
351500,EMBU DAS ARTES,279264
355030,SAO PAULO,12396372
352620,JUQUITIBA,31844
352530,JAU,153463
351530,ESTRELA DO NORTE,2774
351080,CASA BRANCA,30655
354710,SANTA MERCEDES,2947
355610,VALENTIM GENTIL,13732
353540,PANORAMA,15944
353475,OUROESTE,10712
354480,SALES,6481
350940,CAJURU,26613
350530,BARRA BONITA,36125
350180,AMERICO DE CAMPOS,5993
#N/A,SANTA RITA D OESTE,2400
353250,NEVES PAULISTA,8917
350140,ALVARO DE CARVALHO,5320
355510,TUPI PAULISTA,15670
354940,SAO JOAQUIM DA BARRA,52737
353030,MIRASSOL,60768
353450,OSCAR BRESSANE,2603
355645,VARGEM GRANDE PAULISTA,54315
355395,TARUMA,15361
354680,SANTA ISABEL,58529
354970,SAO JOSE DO RIO PARDO,55298
350920,CAJAMAR,79034
351680,GASTAO VIDIGAL,4911
354620,SANTA CRUZ DA CONCEICAO,4584
352830,MAGDA,3086
350560,BARRINHA,33537
350010,ADAMANTINA,35153
350130,ALVARES MACHADO,25078
354670,SANTA GERTRUDES,27850
355650,VARZEA PAULISTA,124269
