co_municipio,,no_municipio,,,populacao,,populacao,
351885,",'",GUATAPARA,,",",7760,,"7,76","INSERT INTO public.populacao VALUES (351885,'GUATAPARA',7760);"
350350,",'",AREIAS,,",",3906,,"3,906","INSERT INTO public.populacao VALUES (350350,'AREIAS',3906);"
355430,",'",TEODORO SAMPAIO,,",",23395,,"23,395","INSERT INTO public.populacao VALUES (355430,'TEODORO SAMPAIO',23395);"
351340,",'",CRUZEIRO,,",",82895,,"82,895","INSERT INTO public.populacao VALUES (351340,'CRUZEIRO',82895);"
351160,",'",CESARIO LANGE,,",",18595,,"18,595","INSERT INTO public.populacao VALUES (351160,'CESARIO LANGE',18595);"
355480,",'",TREMEMBE,,",",48228,,"48,228","INSERT INTO public.populacao VALUES (355480,'TREMEMBE',48228);"
352500,",'",JANDIRA,,",",127734,,"127,734","INSERT INTO public.populacao VALUES (352500,'JANDIRA',127734);"
353950,",'",PITANGUEIRAS,,",",40430,,"40,43","INSERT INTO public.populacao VALUES (353950,'PITANGUEIRAS',40430);"
351420,",'",DOLCINOPOLIS,,",",2108,,"2,108","INSERT INTO public.populacao VALUES (351420,'DOLCINOPOLIS',2108);"
354000,",'",POMPEIA,,",",22326,,"22,326","INSERT INTO public.populacao VALUES (354000,'POMPEIA',22326);"
351940,",'",IBIRA,,",",12639,,"12,639","INSERT INTO public.populacao VALUES (351940,'IBIRA',12639);"
352950,",'",MENDONCA,,",",5638,,"5,638","INSERT INTO public.populacao VALUES (352950,'MENDONCA',5638);"
351960,",'",IBITINGA,,",",61150,,"61,15","INSERT INTO public.populacao VALUES (351960,'IBITINGA',61150);"
#N/A,",'",SAO JOAO DO PAU D ALHO,,",",2100,,0,#N/A
353010,",'",MIRANDOPOLIS,,",",29844,,"29,844","INSERT INTO public.populacao VALUES (353010,'MIRANDOPOLIS',29844);"
354540,",'",SALTO GRANDE,,",",9396,,"9,396","INSERT INTO public.populacao VALUES (354540,'SALTO GRANDE',9396);"
354720,",'",SANTANA DA PONTE PENSA,,",",1448,,"1,448","INSERT INTO public.populacao VALUES (354720,'SANTANA DA PONTE PENSA',1448);"
350540,",'",BARRA DO TURVO,,",",7606,,"7,606","INSERT INTO public.populacao VALUES (350540,'BARRA DO TURVO',7606);"
351050,",'",CARAGUATATUBA,,",",125194,,"125,194","INSERT INTO public.populacao VALUES (351050,'CARAGUATATUBA',125194);"
353920,",'",PIRAPOZINHO,,",",27974,,"27,974","INSERT INTO public.populacao VALUES (353920,'PIRAPOZINHO',27974);"
352020,",'",IGARATA,,",",9631,,"9,631","INSERT INTO public.populacao VALUES (352020,'IGARATA',9631);"
353740,",'",PEREIRA BARRETO,,",",25685,,"25,685","INSERT INTO public.populacao VALUES (353740,'PEREIRA BARRETO',25685);"
351320,",'",CRISTAIS PAULISTA,,",",8803,,"8,803","INSERT INTO public.populacao VALUES (351320,'CRISTAIS PAULISTA',8803);"
353140,",'",MONTE APRAZIVEL,,",",25651,,"25,651","INSERT INTO public.populacao VALUES (353140,'MONTE APRAZIVEL',25651);"
352070,",'",INDIAPORA,,",",3876,,"3,876","INSERT INTO public.populacao VALUES (352070,'INDIAPORA',3876);"
352200,",'",ITAJU,,",",3937,,"3,937","INSERT INTO public.populacao VALUES (352200,'ITAJU',3937);"
353780,",'",PIEDADE,,",",55731,,"55,731","INSERT INTO public.populacao VALUES (353780,'PIEDADE',55731);"
352190,",'",ITAJOBI,,",",15331,,"15,331","INSERT INTO public.populacao VALUES (352190,'ITAJOBI',15331);"
350335,",'",ARCO-IRIS,,",",1755,,"1,755","INSERT INTO public.populacao VALUES (350335,'ARCO-IRIS',1755);"
354880,",'",SAO CAETANO DO SUL,,",",162763,,"162,763","INSERT INTO public.populacao VALUES (354880,'SAO CAETANO DO SUL',162763);"
350610,",'",BEBEDOURO,,",",77612,,"77,612","INSERT INTO public.populacao VALUES (350610,'BEBEDOURO',77612);"
354025,",'",PONTALINDA,,",",4719,,"4,719","INSERT INTO public.populacao VALUES (354025,'PONTALINDA',4719);"
354890,",'",SAO CARLOS,,",",256915,,"256,915","INSERT INTO public.populacao VALUES (354890,'SAO CARLOS',256915);"
351810,",'",GUARANTA,,",",6685,,"6,685","INSERT INTO public.populacao VALUES (351810,'GUARANTA',6685);"
354050,",'",PORANGABA,,",",10205,,"10,205","INSERT INTO public.populacao VALUES (354050,'PORANGABA',10205);"
352370,",'",ITIRAPUA,,",",6587,,"6,587","INSERT INTO public.populacao VALUES (352370,'ITIRAPUA',6587);"
