co_municipio,,no_municipio,,,populacao,,populacao,
350810,",'",BURITAMA,,",",17414,,"17,414","INSERT INTO public.populacao VALUES (350810,'BURITAMA',17414);"
355410,",'",TAUBATE,,",",320820,,"320,82","INSERT INTO public.populacao VALUES (355410,'TAUBATE',320820);"
352990,",'",MIRACATU,,",",19511,,"19,511","INSERT INTO public.populacao VALUES (352990,'MIRACATU',19511);"
#N/A,",'",SANTA CLARA D OESTE,,",",2000,,"2,111",#N/A
351290,",'",COSMORAMA,,",",7289,,"7,289","INSERT INTO public.populacao VALUES (351290,'COSMORAMA',7289);"
354995,",'",SAO LOURENCO DA SERRA,,",",16127,,"16,127","INSERT INTO public.populacao VALUES (354995,'SAO LOURENCO DA SERRA',16127);"
354323,",'",RIBEIRAO DOS INDIOS,,",",2222,,"2,222","INSERT INTO public.populacao VALUES (354323,'RIBEIRAO DOS INDIOS',2222);"
355500,",'",TUPA,,",",65615,,"65,615","INSERT INTO public.populacao VALUES (355500,'TUPA',65615);"
350535,",'",BARRA DO CHAPEU,,",",5794,,"5,794","INSERT INTO public.populacao VALUES (350535,'BARRA DO CHAPEU',5794);"
353970,",'",PLATINA,,",",3606,,"3,606","INSERT INTO public.populacao VALUES (353970,'PLATINA',3606);"
353282,",'",NOVA CAMPINA,,",",9962,,"9,962","INSERT INTO public.populacao VALUES (353282,'NOVA CAMPINA',9962);"
352600,",'",JUNQUEIROPOLIS,,",",20978,,"20,978","INSERT INTO public.populacao VALUES (352600,'JUNQUEIROPOLIS',20978);"
350650,",'",BIRIGUI,,",",126094,,"126,094","INSERT INTO public.populacao VALUES (350650,'BIRIGUI',126094);"
352860,",'",MANDURI,,",",9972,,"9,972","INSERT INTO public.populacao VALUES (352860,'MANDURI',9972);"
352210,",'",ITANHAEM,,",",104351,,"104,351","INSERT INTO public.populacao VALUES (352210,'ITANHAEM',104351);"
354370,",'",RINCAO,,",",10824,,"10,824","INSERT INTO public.populacao VALUES (354370,'RINCAO',10824);"
350840,",'",CABREUVA,,",",51130,,"51,13","INSERT INTO public.populacao VALUES (350840,'CABREUVA',51130);"
354630,",'",SANTA CRUZ DAS PALMEIRAS,,",",35102,,"35,102","INSERT INTO public.populacao VALUES (354630,'SANTA CRUZ DAS PALMEIRAS',35102);"
354800,",'",SANTO ANTONIO DE POSSE,,",",23000,,0,"INSERT INTO public.populacao VALUES (354800,'SANTO ANTONIO DE POSSE',23000);"
353810,",'",PINDORAMA,,",",17378,,"17,378","INSERT INTO public.populacao VALUES (353810,'PINDORAMA',17378);"
352480,",'",JALES,,",",49291,,"49,291","INSERT INTO public.populacao VALUES (352480,'JALES',49291);"
351780,",'",GUARACAI,,",",8258,,"8,258","INSERT INTO public.populacao VALUES (351780,'GUARACAI',8258);"
352170,",'",ITABERA,,",",17405,,"17,405","INSERT INTO public.populacao VALUES (352170,'ITABERA',17405);"
353310,",'",NOVA GUATAPORANGA,,",",2333,,"2,333","INSERT INTO public.populacao VALUES (353310,'NOVA GUATAPORANGA',2333);"
354100,",'",PRAIA GRANDE,,",",336454,,"336,454","INSERT INTO public.populacao VALUES (354100,'PRAIA GRANDE',336454);"
353000,",'",MIRA ESTRELA,,",",3125,,"3,125","INSERT INTO public.populacao VALUES (353000,'MIRA ESTRELA',3125);"
355470,",'",TORRINHA,,",",10100,,"10,1","INSERT INTO public.populacao VALUES (355470,'TORRINHA',10100);"
354300,",'",RIBEIRAO BRANCO,,",",15984,,"15,984","INSERT INTO public.populacao VALUES (354300,'RIBEIRAO BRANCO',15984);"
351600,",'",FLORIDA PAULISTA,,",",14936,,"14,936","INSERT INTO public.populacao VALUES (351600,'FLORIDA PAULISTA',14936);"
350060,",'",AGUAS DE SAO PEDRO,,",",3588,,"3,588","INSERT INTO public.populacao VALUES (350060,'AGUAS DE SAO PEDRO',3588);"
353260,",'",NHANDEARA,,",",11575,,"11,575","INSERT INTO public.populacao VALUES (353260,'NHANDEARA',11575);"
354180,",'",QUEIROZ,,",",3513,,"3,513","INSERT INTO public.populacao VALUES (354180,'QUEIROZ',3513);"
351620,",'",FRANCA,,",",358539,,"358,539","INSERT INTO public.populacao VALUES (351620,'FRANCA',358539);"
351670,",'",GARCA,,",",44429,,"44,429","INSERT INTO public.populacao VALUES (351670,'GARCA',44429);"
355330,",'",TAMBAU,,",",23255,,"23,255","INSERT INTO public.populacao VALUES (355330,'TAMBAU',23255);"
352790,",'",LUTECIA,,",",2623,,"2,623","INSERT INTO public.populacao VALUES (352790,'LUTECIA',2623);"
350830,",'",CABRALIA PAULISTA,,",",4222,,"4,222","INSERT INTO public.populacao VALUES (350830,'CABRALIA PAULISTA',4222);"
354920,",'",SAO JOAO DAS DUAS PONTES,,",",2555,,"2,555","INSERT INTO public.populacao VALUES (354920,'SAO JOAO DAS DUAS PONTES',2555);"
352000,",'",IGARACU DO TIETE,,",",24821,,0,"INSERT INTO public.populacao VALUES (352000,'IGARACU DO TIETE',24821);"
352540,",'",JERIQUARA,,",",3143,,"3,143","INSERT INTO public.populacao VALUES (352540,'JERIQUARA',3143);"
355220,",'",SOROCABA,,",",695328,,"695,328","INSERT INTO public.populacao VALUES (355220,'SOROCABA',695328);"
351910,",'",IACANGA,,",",12002,,"12,002","INSERT INTO public.populacao VALUES (351910,'IACANGA',12002);"
353680,",'",PEDRA BELA,,",",6127,,"6,127","INSERT INTO public.populacao VALUES (353680,'PEDRA BELA',6127);"
355340,",'",TANABI,,",",26231,,"26,231","INSERT INTO public.populacao VALUES (355340,'TANABI',26231);"
351930,",'",IBATE,,",",35830,,"35,83","INSERT INTO public.populacao VALUES (351930,'IBATE',35830);"
354200,",'",QUINTANA,,",",6736,,"6,736","INSERT INTO public.populacao VALUES (354200,'QUINTANA',6736);"
350220,",'",ANGATUBA,,",",25724,,"25,724","INSERT INTO public.populacao VALUES (350220,'ANGATUBA',25724);"
352470,",'",JAGUARIUNA,,",",59921,,"59,921","INSERT INTO public.populacao VALUES (352470,'JAGUARIUNA',59921);"
351850,",'",GUAREI,,",",19244,,"19,244","INSERT INTO public.populacao VALUES (351850,'GUAREI',19244);"
352042,",'",ILHA COMPRIDA,,",",11552,,"11,552","INSERT INTO public.populacao VALUES (352042,'ILHA COMPRIDA',11552);"
353360,",'",NUPORANGA,,",",7522,,"7,522","INSERT INTO public.populacao VALUES (353360,'NUPORANGA',7522);"
351660,",'",GALIA,,",",6419,,"6,419","INSERT INTO public.populacao VALUES (351660,'GALIA',6419);"
353670,",'",PEDERNEIRAS,,",",47523,,"47,523","INSERT INTO public.populacao VALUES (353670,'PEDERNEIRAS',47523);"
354270,",'",RESTINGA,,",",7762,,"7,762","INSERT INTO public.populacao VALUES (354270,'RESTINGA',7762);"
350300,",'",ARAMINA,,",",5689,,"5,689","INSERT INTO public.populacao VALUES (350300,'ARAMINA',5689);"
350030,",'",AGUAI,,",",36981,,"36,981","INSERT INTO public.populacao VALUES (350030,'AGUAI',36981);"
350290,",'",ARACOIABA DA SERRA,,",",35389,,"35,389","INSERT INTO public.populacao VALUES (350290,'ARACOIABA DA SERRA',35389);"
350930,",'",CAJOBI,,",",10649,,"10,649","INSERT INTO public.populacao VALUES (350930,'CAJOBI',10649);"
353070,",'",MOGI GUACU,,",",154146,,"154,146","INSERT INTO public.populacao VALUES (353070,'MOGI GUACU',154146);"
350745,",'",BOREBI,,",",2713,,"2,713","INSERT INTO public.populacao VALUES (350745,'BOREBI',2713);"
350570,",'",BARUERI,,",",279704,,"279,704","INSERT INTO public.populacao VALUES (350570,'BARUERI',279704);"
354870,",'",SAO BERNARDO DO CAMPO,,",",849874,,"849,874","INSERT INTO public.populacao VALUES (354870,'SAO BERNARDO DO CAMPO',849874);"
352610,",'",JUQUIA,,",",18627,,"18,627","INSERT INTO public.populacao VALUES (352610,'JUQUIA',18627);"
350170,",'",AMERICO BRASILIENSE,,",",41545,,"41,545","INSERT INTO public.populacao VALUES (350170,'AMERICO BRASILIENSE',41545);"
355420,",'",TEJUPA,,",",4452,,"4,452","INSERT INTO public.populacao VALUES (355420,'TEJUPA',4452);"
353230,",'",NATIVIDADE DA SERRA,,",",6624,,"6,624","INSERT INTO public.populacao VALUES (353230,'NATIVIDADE DA SERRA',6624);"
352290,",'",ITAPUI,,",",14297,,"14,297","INSERT INTO public.populacao VALUES (352290,'ITAPUI',14297);"
350550,",'",BARRETOS,,",",123546,,"123,546","INSERT INTO public.populacao VALUES (350550,'BARRETOS',123546);"
353600,",'",PARAPUA,,",",10934,,"10,934","INSERT INTO public.populacao VALUES (353600,'PARAPUA',10934);"
351500,",'",EMBU DAS ARTES,,",",279264,,"279,264","INSERT INTO public.populacao VALUES (351500,'EMBU DAS ARTES',279264);"
355030,",'",SAO PAULO,,",",12396372,,"12,396,372","INSERT INTO public.populacao VALUES (355030,'SAO PAULO',12396372);"
352620,",'",JUQUITIBA,,",",31844,,"31,844","INSERT INTO public.populacao VALUES (352620,'JUQUITIBA',31844);"
352530,",'",JAU,,",",153463,,"153,463","INSERT INTO public.populacao VALUES (352530,'JAU',153463);"
351530,",'",ESTRELA DO NORTE,,",",2774,,"2,774","INSERT INTO public.populacao VALUES (351530,'ESTRELA DO NORTE',2774);"
351080,",'",CASA BRANCA,,",",30655,,"30,655","INSERT INTO public.populacao VALUES (351080,'CASA BRANCA',30655);"
354710,",'",SANTA MERCEDES,,",",2947,,"2,947","INSERT INTO public.populacao VALUES (354710,'SANTA MERCEDES',2947);"
355610,",'",VALENTIM GENTIL,,",",13732,,"13,732","INSERT INTO public.populacao VALUES (355610,'VALENTIM GENTIL',13732);"
353540,",'",PANORAMA,,",",15944,,"15,944","INSERT INTO public.populacao VALUES (353540,'PANORAMA',15944);"
353475,",'",OUROESTE,,",",10712,,"10,712","INSERT INTO public.populacao VALUES (353475,'OUROESTE',10712);"
354480,",'",SALES,,",",6481,,"6,481","INSERT INTO public.populacao VALUES (354480,'SALES',6481);"
350940,",'",CAJURU,,",",26613,,"26,613","INSERT INTO public.populacao VALUES (350940,'CAJURU',26613);"
350530,",'",BARRA BONITA,,",",36125,,"36,125","INSERT INTO public.populacao VALUES (350530,'BARRA BONITA',36125);"
350180,",'",AMERICO DE CAMPOS,,",",5993,,"5,993","INSERT INTO public.populacao VALUES (350180,'AMERICO DE CAMPOS',5993);"
#N/A,",'",SANTA RITA D OESTE,,",",2400,,"2,476",#N/A
353250,",'",NEVES PAULISTA,,",",8917,,"8,917","INSERT INTO public.populacao VALUES (353250,'NEVES PAULISTA',8917);"
350140,",'",ALVARO DE CARVALHO,,",",5320,,"5,32","INSERT INTO public.populacao VALUES (350140,'ALVARO DE CARVALHO',5320);"
355510,",'",TUPI PAULISTA,,",",15670,,"15,67","INSERT INTO public.populacao VALUES (355510,'TUPI PAULISTA',15670);"
354940,",'",SAO JOAQUIM DA BARRA,,",",52737,,"52,737","INSERT INTO public.populacao VALUES (354940,'SAO JOAQUIM DA BARRA',52737);"
353030,",'",MIRASSOL,,",",60768,,"60,768","INSERT INTO public.populacao VALUES (353030,'MIRASSOL',60768);"
353450,",'",OSCAR BRESSANE,,",",2603,,"2,603","INSERT INTO public.populacao VALUES (353450,'OSCAR BRESSANE',2603);"
355645,",'",VARGEM GRANDE PAULISTA,,",",54315,,"54,315","INSERT INTO public.populacao VALUES (355645,'VARGEM GRANDE PAULISTA',54315);"
355395,",'",TARUMA,,",",15361,,"15,361","INSERT INTO public.populacao VALUES (355395,'TARUMA',15361);"
354680,",'",SANTA ISABEL,,",",58529,,"58,529","INSERT INTO public.populacao VALUES (354680,'SANTA ISABEL',58529);"
354970,",'",SAO JOSE DO RIO PARDO,,",",55298,,"55,298","INSERT INTO public.populacao VALUES (354970,'SAO JOSE DO RIO PARDO',55298);"
350920,",'",CAJAMAR,,",",79034,,"79,034","INSERT INTO public.populacao VALUES (350920,'CAJAMAR',79034);"
351680,",'",GASTAO VIDIGAL,,",",4911,,"4,911","INSERT INTO public.populacao VALUES (351680,'GASTAO VIDIGAL',4911);"
354620,",'",SANTA CRUZ DA CONCEICAO,,",",4584,,"4,584","INSERT INTO public.populacao VALUES (354620,'SANTA CRUZ DA CONCEICAO',4584);"
352830,",'",MAGDA,,",",3086,,"3,086","INSERT INTO public.populacao VALUES (352830,'MAGDA',3086);"
350560,",'",BARRINHA,,",",33537,,"33,537","INSERT INTO public.populacao VALUES (350560,'BARRINHA',33537);"
350010,",'",ADAMANTINA,,",",35153,,"35,153","INSERT INTO public.populacao VALUES (350010,'ADAMANTINA',35153);"
350130,",'",ALVARES MACHADO,,",",25078,,"25,078","INSERT INTO public.populacao VALUES (350130,'ALVARES MACHADO',25078);"
354670,",'",SANTA GERTRUDES,,",",27850,,"27,85","INSERT INTO public.populacao VALUES (354670,'SANTA GERTRUDES',27850);"
355650,",'",VARZEA PAULISTA,,",",124269,,"124,269","INSERT INTO public.populacao VALUES (355650,'VARZEA PAULISTA',124269);"
352910,",'",MARINOPOLIS,,",",2101,,"2,101","INSERT INTO public.populacao VALUES (352910,'MARINOPOLIS',2101);"
352900,",'",MARILIA,,",",242249,,"242,249","INSERT INTO public.populacao VALUES (352900,'MARILIA',242249);"
351450,",'",DUARTINA,,",",12421,,"12,421","INSERT INTO public.populacao VALUES (351450,'DUARTINA',12421);"
351492,",'",ELISIARIO,,",",3742,,"3,742","INSERT INTO public.populacao VALUES (351492,'ELISIARIO',3742);"
350500,",'",BARAO DE ANTONINA,,",",3525,,"3,525","INSERT INTO public.populacao VALUES (350500,'BARAO DE ANTONINA',3525);"
350510,",'",BARBOSA,,",",7532,,"7,532","INSERT INTO public.populacao VALUES (350510,'BARBOSA',7532);"
352230,",'",ITAPETININGA,,",",167106,,"167,106","INSERT INTO public.populacao VALUES (352230,'ITAPETININGA',167106);"
355210,",'",SOCORRO,,",",41690,,"41,69","INSERT INTO public.populacao VALUES (355210,'SOCORRO',41690);"
350660,",'",BIRITIBA-MIRIM,,",",33000,,0,"INSERT INTO public.populacao VALUES (350660,'BIRITIBA-MIRIM',33000);"
355450,",'",TIETE,,",",42946,,0,"INSERT INTO public.populacao VALUES (355450,'TIETE',42946);"
354340,",'",RIBEIRAO PRETO,,",",720116,,"720,116","INSERT INTO public.populacao VALUES (354340,'RIBEIRAO PRETO',720116);"
354690,",'",SANTA LUCIA,,",",8889,,"8,889","INSERT INTO public.populacao VALUES (354690,'SANTA LUCIA',8889);"
351610,",'",FLORINIA,,",",3000,,0,"INSERT INTO public.populacao VALUES (351610,'FLORINIA',3000);"
352260,",'",ITAPIRA,,",",75683,,"75,683","INSERT INTO public.populacao VALUES (352260,'ITAPIRA',75683);"
351512,",'",EMILIANOPOLIS,,",",3238,,"3,238","INSERT INTO public.populacao VALUES (351512,'EMILIANOPOLIS',3238);"
354230,",'",REDENCAO DA SERRA,,",",3827,,"3,827","INSERT INTO public.populacao VALUES (354230,'REDENCAO DA SERRA',3827);"
354120,",'",PRESIDENTE BERNARDES,,",",12943,,"12,943","INSERT INTO public.populacao VALUES (354120,'PRESIDENTE BERNARDES',12943);"
350110,",'",ALTO ALEGRE,,",",4078,,"4,078","INSERT INTO public.populacao VALUES (350110,'ALTO ALEGRE',4078);"
350075,",'",ALAMBARI,,",",6231,,"6,231","INSERT INTO public.populacao VALUES (350075,'ALAMBARI',6231);"
352430,",'",JABOTICABAL,,",",78029,,"78,029","INSERT INTO public.populacao VALUES (352430,'JABOTICABAL',78029);"
355535,",'",UBARANA,,",",6488,,"6,488","INSERT INTO public.populacao VALUES (355535,'UBARANA',6488);"
350310,",'",ARANDU,,",",6373,,"6,373","INSERT INTO public.populacao VALUES (350310,'ARANDU',6373);"
353110,",'",MONGAGUA,,",",58567,,"58,567","INSERT INTO public.populacao VALUES (353110,'MONGAGUA',58567);"
352630,",'",LAGOINHA,,",",4882,,"4,882","INSERT INTO public.populacao VALUES (352630,'LAGOINHA',4882);"
355365,",'",TAQUARAL,,",",2815,,"2,815","INSERT INTO public.populacao VALUES (355365,'TAQUARAL',2815);"
354390,",'",RIO CLARO,,",",209548,,"209,548","INSERT INTO public.populacao VALUES (354390,'RIO CLARO',209548);"
353720,",'",PEDRO DE TOLEDO,,",",11507,,"11,507","INSERT INTO public.populacao VALUES (353720,'PEDRO DE TOLEDO',11507);"
354110,",'",PRESIDENTE ALVES,,",",4067,,"4,067","INSERT INTO public.populacao VALUES (354110,'PRESIDENTE ALVES',4067);"
352680,",'",LENCOIS PAULISTA,,",",69533,,"69,533","INSERT INTO public.populacao VALUES (352680,'LENCOIS PAULISTA',69533);"
351430,",'",DOURADO,,",",8883,,"8,883","INSERT INTO public.populacao VALUES (351430,'DOURADO',8883);"
355020,",'",SAO MIGUEL ARCANJO,,",",33071,,"33,071","INSERT INTO public.populacao VALUES (355020,'SAO MIGUEL ARCANJO',33071);"
353080,",'",MOGI MIRIM,,",",94098,,0,"INSERT INTO public.populacao VALUES (353080,'MOGI MIRIM',94098);"
355620,",'",VALINHOS,,",",133169,,"133,169","INSERT INTO public.populacao VALUES (355620,'VALINHOS',133169);"
353300,",'",NOVA GRANADA,,",",21871,,"21,871","INSERT INTO public.populacao VALUES (353300,'NOVA GRANADA',21871);"
355200,",'",SILVEIRAS,,",",6375,,"6,375","INSERT INTO public.populacao VALUES (355200,'SILVEIRAS',6375);"
350160,",'",AMERICANA,,",",244370,,"244,37","INSERT INTO public.populacao VALUES (350160,'AMERICANA',244370);"
355490,",'",TRES FRONTEIRAS,,",",5856,,0,"INSERT INTO public.populacao VALUES (355490,'TRES FRONTEIRAS',5856);"
354780,",'",SANTO ANDRE,,",",723889,,"723,889","INSERT INTO public.populacao VALUES (354780,'SANTO ANDRE',723889);"
355475,",'",TRABIJU,,",",1752,,"1,752","INSERT INTO public.populacao VALUES (355475,'TRABIJU',1752);"
350970,",'",CAMPOS DO JORDAO,,",",52713,,"52,713","INSERT INTO public.populacao VALUES (350970,'CAMPOS DO JORDAO',52713);"
354130,",'",PRESIDENTE EPITACIO,,",",44572,,"44,572","INSERT INTO public.populacao VALUES (354130,'PRESIDENTE EPITACIO',44572);"
355400,",'",TATUI,,",",124134,,"124,134","INSERT INTO public.populacao VALUES (355400,'TATUI',124134);"
355710,",'",VOTUPORANGA,,",",96106,,"96,106","INSERT INTO public.populacao VALUES (355710,'VOTUPORANGA',96106);"
352030,",'",IGUAPE,,",",31117,,"31,117","INSERT INTO public.populacao VALUES (352030,'IGUAPE',31117);"
352420,",'",JABORANDI,,",",6963,,"6,963","INSERT INTO public.populacao VALUES (352420,'JABORANDI',6963);"
353770,",'",PIACATU,,",",6093,,"6,093","INSERT INTO public.populacao VALUES (353770,'PIACATU',6093);"
350700,",'",BOITUVA,,",",63310,,"63,31","INSERT INTO public.populacao VALUES (350700,'BOITUVA',63310);"
352330,",'",ITARIRI,,",",17754,,"17,754","INSERT INTO public.populacao VALUES (352330,'ITARIRI',17754);"
350630,",'",BERNARDINO DE CAMPOS,,",",11168,,"11,168","INSERT INTO public.populacao VALUES (350630,'BERNARDINO DE CAMPOS',11168);"
355010,",'",SAO MANUEL,,",",41287,,"41,287","INSERT INTO public.populacao VALUES (355010,'SAO MANUEL',41287);"
351770,",'",GUARA,,",",21394,,"21,394","INSERT INTO public.populacao VALUES (351770,'GUARA',21394);"
350945,",'",CAMPINA DO MONTE ALEGRE,,",",6088,,"6,088","INSERT INTO public.populacao VALUES (350945,'CAMPINA DO MONTE ALEGRE',6088);"
353120,",'",MONTE ALEGRE DO SUL,,",",8181,,"8,181","INSERT INTO public.populacao VALUES (353120,'MONTE ALEGRE DO SUL',8181);"
352510,",'",JARDINOPOLIS,,",",45544,,"45,544","INSERT INTO public.populacao VALUES (352510,'JARDINOPOLIS',45544);"
354140,",'",PRESIDENTE PRUDENTE,,",",231953,,"231,953","INSERT INTO public.populacao VALUES (354140,'PRESIDENTE PRUDENTE',231953);"
353170,",'",MONTEIRO LOBATO,,",",4739,,"4,739","INSERT INTO public.populacao VALUES (353170,'MONTEIRO LOBATO',4739);"
354820,",'",SANTO ANTONIO DO PINHAL,,",",6500,,0,"INSERT INTO public.populacao VALUES (354820,'SANTO ANTONIO DO PINHAL',6500);"
353610,",'",PARDINHO,,",",6579,,"6,579","INSERT INTO public.populacao VALUES (353610,'PARDINHO',6579);"
351685,",'",GAVIAO PEIXOTO,,",",4841,,"4,841","INSERT INTO public.populacao VALUES (351685,'GAVIAO PEIXOTO',4841);"
353790,",'",PILAR DO SUL,,",",29612,,"29,612","INSERT INTO public.populacao VALUES (353790,'PILAR DO SUL',29612);"
353910,",'",PIRAPORA DO BOM JESUS,,",",19453,,"19,453","INSERT INTO public.populacao VALUES (353910,'PIRAPORA DO BOM JESUS',19453);"
354840,",'",SANTOPOLIS DO AGUAPEI,,",",4856,,"4,856","INSERT INTO public.populacao VALUES (354840,'SANTOPOLIS DO AGUAPEI',4856);"
351890,",'",GUZOLANDIA,,",",5346,,0,"INSERT INTO public.populacao VALUES (351890,'GUZOLANDIA',5346);"
351015,",'",CANITAR,,",",5365,,"5,365","INSERT INTO public.populacao VALUES (351015,'CANITAR',5365);"
354910,",'",SAO JOAO DA BOA VISTA,,",",92315,,"92,315","INSERT INTO public.populacao VALUES (354910,'SAO JOAO DA BOA VISTA',92315);"
352885,",'",MARAPOAMA,,",",3097,,"3,097","INSERT INTO public.populacao VALUES (352885,'MARAPOAMA',3097);"
350890,",'",CAIABU,,",",4195,,"4,195","INSERT INTO public.populacao VALUES (350890,'CAIABU',4195);"
351830,",'",GUARAREMA,,",",30465,,"30,465","INSERT INTO public.populacao VALUES (351830,'GUARAREMA',30465);"
350380,",'",ARTUR NOGUEIRA,,",",56247,,"56,247","INSERT INTO public.populacao VALUES (350380,'ARTUR NOGUEIRA',56247);"
351040,",'",CAPIVARI,,",",56973,,"56,973","INSERT INTO public.populacao VALUES (351040,'CAPIVARI',56973);"
351760,",'",GUAPIARA,,",",16896,,"16,896","INSERT INTO public.populacao VALUES (351760,'GUAPIARA',16896);"
350070,",'",AGUDOS,,",",37582,,"37,582","INSERT INTO public.populacao VALUES (350070,'AGUDOS',37582);"
355560,",'",UCHOA,,",",10191,,"10,191","INSERT INTO public.populacao VALUES (355560,'UCHOA',10191);"
354550,",'",SANDOVALINA,,",",4405,,"4,405","INSERT INTO public.populacao VALUES (354550,'SANDOVALINA',4405);"
354410,",'",RIO GRANDE DA SERRA,,",",52009,,"52,009","INSERT INTO public.populacao VALUES (354410,'RIO GRANDE DA SERRA',52009);"
352640,",'",LARANJAL PAULISTA,,",",29047,,"29,047","INSERT INTO public.populacao VALUES (352640,'LARANJAL PAULISTA',29047);"
355440,",'",TERRA ROXA,,",",9502,,"9,502","INSERT INTO public.populacao VALUES (355440,'TERRA ROXA',9502);"
352140,",'",IRACEMAPOLIS,,",",24982,,"24,982","INSERT INTO public.populacao VALUES (352140,'IRACEMAPOLIS',24982);"
#N/A,",'",GUARANI D OESTE,,",",2000,,"1,996",#N/A
354160,",'",PROMISSAO,,",",41211,,"41,211","INSERT INTO public.populacao VALUES (354160,'PROMISSAO',41211);"
353870,",'",PIRACICABA,,",",410275,,"410,275","INSERT INTO public.populacao VALUES (353870,'PIRACICABA',410275);"
350720,",'",BORA,,",",839,,839,"INSERT INTO public.populacao VALUES (350720,'BORA',839);"
353130,",'",MONTE ALTO,,",",51039,,"51,039","INSERT INTO public.populacao VALUES (353130,'MONTE ALTO',51039);"
354570,",'",SANTA ALBERTINA,,",",6036,,"6,036","INSERT INTO public.populacao VALUES (354570,'SANTA ALBERTINA',6036);"
354770,",'",SANTO ANASTACIO,,",",20855,,"20,855","INSERT INTO public.populacao VALUES (354770,'SANTO ANASTACIO',20855);"
351540,",'",FARTURA,,",",16102,,"16,102","INSERT INTO public.populacao VALUES (351540,'FARTURA',16102);"
355695,",'",VITORIA BRASIL,,",",1852,,"1,852","INSERT INTO public.populacao VALUES (355695,'VITORIA BRASIL',1852);"
350995,",'",CANAS,,",",5268,,"5,268","INSERT INTO public.populacao VALUES (350995,'CANAS',5268);"
353020,",'",MIRANTE DO PARANAPANEMA,,",",18415,,"18,415","INSERT INTO public.populacao VALUES (353020,'MIRANTE DO PARANAPANEMA',18415);"
350390,",'",ARUJA,,",",92453,,"92,453","INSERT INTO public.populacao VALUES (350390,'ARUJA',92453);"
354950,",'",SAO JOSE DA BELA VISTA,,",",8991,,"8,991","INSERT INTO public.populacao VALUES (354950,'SAO JOSE DA BELA VISTA',8991);"
355160,",'",SERRA NEGRA,,",",29669,,"29,669","INSERT INTO public.populacao VALUES (355160,'SERRA NEGRA',29669);"
355380,",'",TAQUARITUBA,,",",23292,,"23,292","INSERT INTO public.populacao VALUES (355380,'TAQUARITUBA',23292);"
354860,",'",SAO BENTO DO SAPUCAI,,",",10907,,"10,907","INSERT INTO public.populacao VALUES (354860,'SAO BENTO DO SAPUCAI',10907);"
353657,",'",PAULISTANIA,,",",1835,,0,"INSERT INTO public.populacao VALUES (353657,'PAULISTANIA',1835);"
352870,",'",MARABA PAULISTA,,",",6039,,"6,039","INSERT INTO public.populacao VALUES (352870,'MARABA PAULISTA',6039);"
352650,",'",LAVINIA,,",",12581,,"12,581","INSERT INTO public.populacao VALUES (352650,'LAVINIA',12581);"
352840,",'",MAIRINQUE,,",",47723,,"47,723","INSERT INTO public.populacao VALUES (352840,'MAIRINQUE',47723);"
352360,",'",ITIRAPINA,,",",18610,,"18,61","INSERT INTO public.populacao VALUES (352360,'ITIRAPINA',18610);"
355150,",'",SERRANA,,",",46166,,"46,166","INSERT INTO public.populacao VALUES (355150,'SERRANA',46166);"
353690,",'",PEDRANOPOLIS,,",",2468,,"2,468","INSERT INTO public.populacao VALUES (353690,'PEDRANOPOLIS',2468);"
352920,",'",MARTINOPOLIS,,",",26791,,"26,791","INSERT INTO public.populacao VALUES (352920,'MARTINOPOLIS',26791);"
350900,",'",CAIEIRAS,,",",104044,,"104,044","INSERT INTO public.populacao VALUES (350900,'CAIEIRAS',104044);"
355550,",'",UBIRAJARA,,",",4828,,"4,828","INSERT INTO public.populacao VALUES (355550,'UBIRAJARA',4828);"
350690,",'",BOFETE,,",",12107,,"12,107","INSERT INTO public.populacao VALUES (350690,'BOFETE',12107);"
353620,",'",PARIQUERA-ACU,,",",19797,,"19,797","INSERT INTO public.populacao VALUES (353620,'PARIQUERA-ACU',19797);"
352130,",'",IPUA,,",",16794,,"16,794","INSERT INTO public.populacao VALUES (352130,'IPUA',16794);"
352250,",'",ITAPEVI,,",",244131,,"244,131","INSERT INTO public.populacao VALUES (352250,'ITAPEVI',244131);"
354640,",'",SANTA CRUZ DO RIO PARDO,,",",48207,,"48,207","INSERT INTO public.populacao VALUES (354640,'SANTA CRUZ DO RIO PARDO',48207);"
351110,",'",CATANDUVA,,",",123114,,"123,114","INSERT INTO public.populacao VALUES (351110,'CATANDUVA',123114);"
354490,",'",SALES OLIVEIRA,,",",12103,,"12,103","INSERT INTO public.populacao VALUES (354490,'SALES OLIVEIRA',12103);"
354625,",'",SANTA CRUZ DA ESPERANCA,,",",2166,,"2,166","INSERT INTO public.populacao VALUES (354625,'SANTA CRUZ DA ESPERANCA',2166);"
350450,",'",AVARE,,",",91792,,"91,792","INSERT INTO public.populacao VALUES (350450,'AVARE',91792);"
352080,",'",INUBIA PAULISTA,,",",4045,,"4,045","INSERT INTO public.populacao VALUES (352080,'INUBIA PAULISTA',4045);"
354325,",'",RIBEIRAO GRANDE,,",",7686,,"7,686","INSERT INTO public.populacao VALUES (354325,'RIBEIRAO GRANDE',7686);"
351350,",'",CUBATAO,,",",132521,,"132,521","INSERT INTO public.populacao VALUES (351350,'CUBATAO',132521);"
350635,",'",BERTIOGA,,",",66154,,"66,154","INSERT INTO public.populacao VALUES (350635,'BERTIOGA',66154);"
